"","liv","die","rea","des","pas","dur","fre","att","con","det","cry","pla","met","cou","exp","pre","not","arr","cea"
"256",1,2,2,2,2,2,0,1,2,2,1,0,2,2,2,0,0,0,2
"257",1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1
"258",1,2,2,1,0,2,1,2,0,1,2,2,2,2,1,2,1,0,0
"259",2,2,2,2,2,0,2,2,2,1,2,0,2,2,0,0,0,0,0
"260",1,2,0,2,1,1,1,2,0,0,2,1,1,1,1,1,2,0,1
"261",1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,0,1
"262",1,1,2,1,1,1,1,2,1,1,2,1,2,0,1,1,0,1,0
"263",2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,0,0,1
"264",2,2,2,2,0,1,1,1,1,2,2,1,2,2,1,2,0,0,2
"265",2,2,2,2,1,2,1,1,1,2,0,1,2,1,2,1,0,0,2
"266",1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,0,1
"267",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"268",2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,0,2,0,2
"269",1,2,1,2,1,2,2,2,1,2,2,0,2,2,1,0,0,0,0
"270",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"271",2,2,1,2,1,2,1,1,1,2,2,1,2,2,1,0,2,0,2
"272",2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,0
"273",2,2,2,2,2,2,2,1,2,2,1,1,1,2,2,1,2,1,1
"274",1,1,1,1,1,0,1,1,1,1,2,1,2,1,2,1,0,0,1
"275",1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"276",0,0,2,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1
"277",1,1,1,1,1,2,2,1,1,1,2,2,1,1,2,2,2,0,0
"278",2,2,2,2,1,1,1,2,1,2,2,2,2,2,1,1,2,0,1
"279",2,2,1,2,2,1,1,2,2,1,2,2,2,2,2,1,0,0,0
"280",1,2,1,1,2,1,0,1,1,2,2,1,0,2,1,1,1,0,1
"281",2,2,1,2,1,2,1,2,1,1,2,0,2,2,2,0,1,0,2
"282",0,1,0,1,0,1,1,1,0,1,2,1,2,1,1,0,0,0,1
"283",1,2,2,2,1,2,2,1,1,2,2,2,2,2,2,1,1,0,2
"284",1,1,2,1,1,1,1,1,1,1,2,1,2,2,1,1,0,1,2
"285",2,2,1,2,1,2,1,1,1,2,2,0,1,2,1,0,2,1,0
"286",2,2,1,2,1,2,2,1,2,1,1,1,2,1,1,1,2,1,2
"287",1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,0,0,0,2
"288",2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,1,1,1,2
"289",1,1,1,2,1,2,2,2,1,2,2,2,2,2,1,1,0,0,2
"290",1,1,1,2,2,1,1,1,1,0,2,2,2,2,0,0,0,0,2
"291",2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2
"292",2,2,2,1,1,2,1,2,1,0,2,2,1,2,2,0,0,0,1
"293",1,1,2,2,1,2,1,1,1,2,2,1,1,2,2,0,1,1,2
"294",0,2,2,2,1,1,1,1,1,1,2,1,2,1,1,0,0,0,2
"295",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2
"296",2,2,0,2,2,1,1,2,2,1,2,0,2,2,1,1,1,0,1
"297",2,2,2,2,1,2,2,2,1,1,2,2,1,1,1,1,2,1,2
"298",2,1,0,1,1,1,1,2,1,1,2,2,2,2,1,0,2,0,1
"299",1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,0,0,0,2
"300",1,2,1,1,0,1,1,1,1,0,2,0,0,1,1,1,0,0,0
"301",2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,0,0,0
"302",1,1,1,2,2,1,1,1,2,2,1,0,0,1,2,1,1,1,1
"303",1,0,1,0,1,1,0,0,1,0,2,0,0,1,1,1,0,0,2
"304",1,2,1,2,2,1,1,2,2,1,2,0,2,2,1,0,0,0,2
"305",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"306",1,2,1,2,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2
"307",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"308",1,1,1,2,2,1,1,1,2,2,2,2,1,2,1,1,1,2,0
"309",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"310",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"311",1,2,1,1,2,0,0,1,1,0,2,1,0,1,0,0,0,0,0
"312",2,2,0,2,1,1,1,2,1,2,1,2,2,2,2,1,0,1,2
"313",2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,0,0,0,2
"314",2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2
"315",1,1,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1
"316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"317",2,2,1,2,1,1,1,2,1,1,2,0,2,2,2,1,1,0,1
"318",1,0,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"319",2,1,2,1,1,1,1,2,0,0,2,1,2,0,0,0,1,0,1
"320",1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1
"321",0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1
"322",0,1,1,2,1,1,1,1,0,1,2,0,0,1,1,1,1,1,1
"323",2,2,2,2,2,1,2,2,1,1,2,0,2,2,2,0,1,1,2
"324",2,2,0,1,0,1,1,1,0,1,2,0,0,2,2,1,0,0,0
"325",2,2,2,2,0,2,1,2,1,2,2,2,1,2,2,1,1,1,1
"326",2,2,2,2,1,2,2,2,2,1,2,1,0,2,2,2,1,1,1
"327",2,2,2,2,1,2,1,2,1,1,2,1,2,1,1,1,1,0,0
"328",0,1,0,1,0,1,1,1,1,1,2,2,2,1,1,2,0,2,0
"329",2,2,2,2,2,0,0,2,0,0,2,2,2,1,1,0,0,0,0
"330",1,1,1,1,0,1,1,1,1,2,2,1,1,1,2,1,2,0,2
"331",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"332",2,2,2,2,2,2,2,2,1,1,2,1,0,1,2,0,0,0,0
"333",2,2,1,2,2,2,2,1,1,1,2,0,0,1,1,0,2,0,0
"334",1,2,1,1,2,0,1,1,1,1,1,0,2,2,0,0,2,0,0
"335",0,1,1,1,0,1,1,1,1,1,2,1,1,1,1,0,0,0,1
"336",1,1,1,1,0,1,1,1,0,1,1,1,1,1,2,1,0,0,0
